Date,T,WMT,TMUS,COST,NFLX_x,NFLX_y,DIS
2016-07-01,34.695644,66.22333499999999,46.34,154.097839,91.25,91.25,90.52336899999999
2016-08-01,33.130959000000004,64.834808,46.34,149.37039199999998,97.449997,97.449997,89.765015
2016-09-01,32.912136,65.899979,46.720001,140.919937,98.550003,98.550003,88.244537
2016-10-01,29.816240000000004,63.98109399999999,49.73,136.632553,124.870003,124.870003,88.082977
2016-11-01,31.688675,64.355736,54.209998999999996,138.702332,117.0,117.0,94.193405
2016-12-01,33.124221999999996,63.15871800000001,57.509997999999996,148.39768999999998,123.800003,123.800003,99.039902
2017-01-01,34.584377,61.420443999999996,62.27,151.956802,140.71000700000002,140.71000700000002,105.960678
2017-02-01,34.679291,65.276482,62.529999,164.21903999999998,142.130005,142.130005,105.42440800000001
2017-03-01,34.480121999999994,66.334839,64.589996,155.841858,147.809998,147.809998,108.58456399999999
2017-04-01,32.886818,69.696487,67.269997,164.97731000000002,152.199997,152.199997,110.700897
2017-05-01,32.355934000000005,72.86702,67.41999799999999,167.681686,163.070007,163.070007,103.365532
2017-06-01,31.684122,70.629517,60.619999,155.086182,149.41000400000001,149.41000400000001,101.74715400000001
2017-07-01,32.750609999999995,74.651878,61.66,153.70921299999998,181.66000400000001,181.66000400000001,105.27118700000001
2017-08-01,31.867009999999997,72.860023,64.709999,151.99281299999998,174.71000700000002,174.71000700000002,97.632111
2017-09-01,33.321692999999996,73.384056,61.66,159.82351699999998,181.350006,181.350006,95.094833
2017-10-01,28.625870000000003,81.995926,59.77,156.700775,196.429993,196.429993,94.361626
2017-11-01,31.336899,91.312157,61.07,179.416,195.509995,195.509995,101.12447399999999
2017-12-01,33.490341,92.739639,63.509997999999996,181.597305,191.96000700000002,191.96000700000002,103.719643
2018-01-01,32.258571999999994,101.166855,65.099998,190.13468899999998,270.299988,270.299988,105.68211399999998
2018-02-01,31.682135,85.422409,60.610001000000004,186.261124,291.380005,291.380005,100.323616
2018-03-01,31.114826,84.435425,61.040001000000004,184.34313999999998,295.350006,295.350006,97.678398
2018-04-01,28.540102,84.451927,60.509997999999996,192.88382,312.459991,312.459991,97.571426
2018-05-01,28.609934000000003,78.800156,55.700001,193.940369,351.600006,351.600006,96.735069
