Date,AAL,BAC,DAL,S&P500,WFC,JNJ,KO,MCD,PFE,SBUX,T,WMT,TMUS,COST,NFLX,DIS,CVX,XOM,CL,PG,PEP
2015-10-01,44.074883,15.365807,46.084946,2079.360107,45.889621999999996,88.830063,36.245644,99.02549,28.379551,57.282753,25.791077,50.765938,37.18539000000001,144.515884,108.379997,106.623749,74.51505999999998,67.63353000000001,59.355675,65.939049,88.84581
2015-11-01,39.345081,15.961023999999998,42.114609,2080.409912,46.703323,89.01469399999998,36.476734,100.710472,27.498455,56.202457,26.285101,52.184975,34.839836,147.531982,123.330002,106.370651,74.87583199999997,66.750732,59.09115600000001,65.190147,87.080887
2015-12-01,40.471588,15.411591,46.07093,2043.939941,46.392815,90.981773,37.049694,105.03871200000002,27.305914,55.135326,26.862793,54.366734,39.119999,147.986633,114.379997,98.505562,74.661575,64.273537,59.936863,69.17092099999999,86.872238
2016-01-01,37.260632,12.984755999999999,40.254124,1940.2399899999998,42.868118,92.505219,37.015194,110.053276,25.791739,55.814987,28.150904,59.347401,40.150002,138.475143,91.839996,90.400734,71.765068,64.191086,60.75558100000001,71.156937,86.937965
2016-02-01,39.181469,11.497110000000001,43.844189,1932.22998,40.043246999999994,93.187225,37.196304,104.194092,25.098099,53.46371800000001,29.251614,59.329506,37.099998,137.476395,93.410004,90.117691,69.250351,66.08755500000001,59.416721,70.54692800000002,85.642204
2016-03-01,39.297958,12.415409,44.384418,2059.73999,41.591609999999996,96.530067,40.007797,112.58911100000002,25.324789000000006,55.011425,31.009079,61.252312,38.299999,144.786102,102.230003,93.693352,80.180717,69.549576,63.951717,72.3218,89.72206899999998
2016-04-01,33.241791,13.421319,37.992989,2065.300049,42.98487100000001,99.9916,38.937859,113.314735,27.947832,51.813946,30.732004,60.246235,39.279999,136.10333300000002,90.029999,97.419945,85.879097,73.551651,64.19612099999999,70.397552,90.786407
2016-05-01,30.577856,13.633329999999999,39.625038,2096.949951,43.621303999999995,100.535805,38.76403,109.346169,29.648117,50.579185,31.377563,63.768936,42.759998,137.095642,102.57,93.608437,84.887352,74.067513,64.083237,71.788765,89.208069
2016-06-01,27.206568,12.232204,33.322384,2098.860107,41.01749,108.98983,39.398518,107.805328,30.353277,52.81821400000001,34.631527,66.268715,43.27,144.71669,91.480003,92.287613,89.037712,78.650192,66.622551,75.004372,93.414063
2016-07-01,34.116333000000004,13.4021,35.44447299999999,2173.600098,41.572144,112.520973,38.211761,106.170219,31.801544,53.678169,34.695644,66.22333499999999,46.34,154.097839,91.25,90.523369,87.041733,74.631264,67.74202,75.819366,96.761909
